year,month,LSew,Longew,shortew,LSvw,Longvw,shortvw,LSpw,Longpw,shortpw
2001,1,-0.132668659,0.0517436282,0.1844122869,-0.092346717,0.0462616231,0.1386083403,-0.078998105,0.0255102621,0.1045083675
2001,2,0.2387338392,0.0097460042,-0.228987835,0.290919067,0.0401084853,-0.250810582,0.2717149958,0.0165649002,-0.255150096
2001,3,0.1192096656,-0.040032097,-0.159241762,0.1132171059,-0.030452054,-0.14366916,0.1207816783,-0.034108823,-0.154890501
2001,4,-0.199328354,0.0729300687,0.2722584231,-0.171019796,0.0616051314,0.2326249277,-0.193780754,0.0725865772,0.2663673316
2001,5,0.021576477,0.0323468932,0.0107704162,0.0055356241,0.0085396518,0.0030040277,0.0207605408,0.0184234101,-0.002337131
2001,6,-0.031092664,0.0061334285,0.0372260922,0.018512931,0.013670944,-0.004841987,-0.033221427,-0.013147484,0.0200739432
2001,7,0.0785618919,-0.004314703,-0.082876595,0.0751777007,-0.01207579,-0.087253491,0.1002300007,-0.00459989,-0.104829891
2001,8,0.1080493617,-0.011794316,-0.119843677,0.1122252523,-0.025338199,-0.137563451,0.0957538698,-0.013961636,-0.109715506
2001,9,0.0696974633,-0.155297753,-0.224995216,0.044337253,-0.131838032,-0.176175285,0.0748718825,-0.12573296,-0.200604842
2001,10,-0.134662332,0.0763330757,0.2109954073,-0.062539802,0.0428707064,0.1054105084,-0.073284901,0.0573583389,0.1306432403
2001,11,-0.074064422,0.0888063263,0.1628707486,-0.102311465,0.0555021675,0.1578136323,-0.05819232,0.0677273925,0.1259197125
2001,12,0.0277523579,0.0782811786,0.0505288208,0.1020000343,0.0624943026,-0.039505732,0.0373558607,0.069352151,0.0319962903
2002,1,0.0670490065,0.0212496119,-0.045799395,0.0454975519,0.00949577,-0.036001782,0.0822206765,0.0351846182,-0.047036058
2002,2,0.1551306027,0.0151589061,-0.139971697,0.1394552674,0.0082410062,-0.131214261,0.1528368032,0.033253619,-0.119583184
2002,3,-0.020680231,0.0951765622,0.1158567933,-0.020182526,0.0597315793,0.0799141049,-0.038076867,0.0599947318,0.098071599
2002,4,0.1055336534,0.0072653572,-0.098268296,0.1097353798,-0.003960308,-0.113695688,0.1105000872,0.0334525224,-0.077047565
2002,5,0.0259857406,-0.022249226,-0.048234967,-0.004583516,-0.012399858,-0.007816342,0.0086556812,-0.032901305,-0.041556986
2002,6,0.1193307362,-0.035593185,-0.154923921,0.0933465991,-0.045221424,-0.138568023,0.0922505925,-0.039119809,-0.131370402
2002,7,-0.022515035,-0.143788272,-0.121273236,-0.046902438,-0.113324681,-0.066422244,-0.157319559,-0.139498886,0.0178206731
2002,8,0.0234440935,0.0082235387,-0.015220555,0.0877209705,0.0508288447,-0.036892126,-0.05446864,0.0113963003,0.0658649401
2002,9,-0.006596166,-0.082565249,-0.075969083,0.0222135153,-0.060833877,-0.083047392,-0.071731166,-0.061241977,0.0104891891
2002,10,-0.053332393,0.0244578274,0.0777902202,-0.107979337,0.0556070949,0.1635864318,0.0179478617,0.0229885918,0.0050407301
2002,11,-0.077869032,0.0497485106,0.1276175431,-0.06912159,0.0365735915,0.1056951813,0.0443222062,0.0222458551,-0.022076351
2002,12,0.0619976387,-0.022876002,-0.084873641,0.047890435,-0.054635691,-0.102526126,-0.017576442,-0.014017572,0.0035588701
2003,1,-0.031876998,-0.034611654,-0.002734656,-0.01456046,-0.01698768,-0.00242722,0.046613267,-0.022901668,-0.069514935
2003,2,0.0283265466,-0.00441006,-0.032736607,0.0289146086,0.0020577309,-0.026856878,0.0862077625,0.0011131494,-0.085094613
2003,3,-0.013848311,-0.001878653,0.0119696578,-0.007789618,0.0005165289,0.0083061472,-0.032964605,0.0006278697,0.0335924748
2003,4,-0.008176056,0.0894207362,0.0975967927,-0.030276991,0.058219688,0.0884966788,-0.011838691,0.0818758879,0.0937145784
2003,5,-0.023939638,0.1060219406,0.1299615786,-0.025290434,0.0826108501,0.1079012846,0.0966527659,0.1168315739,0.020178808
2003,6,0.0154087787,0.0218734217,0.0064646429,-0.000624956,0.0241393637,0.02476432,-0.005273192,0.0154899396,0.0207631316
2003,7,-0.028385048,0.0186541863,0.0470392339,-0.056777472,-0.017599414,0.0391780574,-0.035158627,0.0051702934,0.0403289201
2003,8,-0.011332515,0.0573949247,0.06872744,-0.023108314,0.0205767399,0.0436850535,0.001740837,0.0553018262,0.0535609892
2003,9,0.0637132606,0.0102206563,-0.053492604,0.0740997417,0.0246709022,-0.04942884,0.0669997325,0.0195478376,-0.047451895
2003,10,-0.000789777,0.0963496001,0.0971393769,-0.012353997,0.0734106383,0.0857646355,0.0222250173,0.1033375986,0.0811125813
2003,11,0.0089608417,0.0298984367,0.020937595,0.0112203805,0.020203337,0.0089829565,0.0239309442,0.0356392483,0.0117083041
2003,12,0.0160409098,0.0480706299,0.0320297202,-0.010397917,0.050078683,0.0604766005,-0.014541084,0.0191408103,0.0336818938
2004,1,-0.008327363,-0.002801948,0.0055254146,0.0019678602,-0.006371854,-0.008339714,-0.019561192,-0.019669537,-0.000108345
2004,2,0.048218331,0.0404804643,-0.007737867,0.0173243784,0.0257741816,0.0084498031,0.053173055,0.0514330592,-0.001739996
2004,3,0.0220875969,0.0343144266,0.0122268297,-0.018172558,-0.007877854,0.010294704,0.0218819894,0.0268299761,0.0049479867
