year,month,LSew,Longew,shortew,LSvw,Longvw,shortvw,LSpw,Longpw,shortpw
2001,1,-0.021511461,0.1242037053,0.1457151659,0.0112650538,0.0911084347,0.0798433809,-0.000667287,0.0969553388,0.097622626
2001,2,0.1225948529,-0.019303377,-0.14189823,0.111143278,-0.026673952,-0.13781723,0.1246855607,-0.019955349,-0.14464091
2001,3,0.0715296024,-0.021136252,-0.092665854,0.0354130005,-0.031737757,-0.067150758,0.0666055742,-0.024550416,-0.09115599
2001,4,-0.077199433,0.0524552636,0.1296546969,-0.070188133,0.0634877253,0.1336758585,-0.070182977,0.0569652305,0.1271482072
2001,5,-0.031779317,0.0733421762,0.1051214937,-0.047753317,0.0497960011,0.0975493184,-0.043994669,0.0609903563,0.1049850255
2001,6,0.0238155996,0.0573850544,0.0335694548,0.0378557877,0.076858658,0.0390028703,0.0256368725,0.0482424347,0.0226055622
2001,7,0.0461591096,-0.007709561,-0.05386867,0.0637506405,-0.027841688,-0.091592329,0.0402812064,-0.001844355,-0.042125561
2001,8,-0.009983412,-0.044490231,-0.034506819,-0.01149701,-0.049110038,-0.037613028,-0.008720046,-0.036726158,-0.028006112
2001,9,-0.041001537,-0.140584301,-0.099582764,-0.059902384,-0.170966426,-0.111064042,-0.057603113,-0.131162372,-0.073559258
2001,10,-0.027708653,0.077583727,0.1052923803,-0.016576583,0.0742056401,0.0907822231,-0.019127506,0.0619246494,0.0810521552
2001,11,-0.02532815,0.0630293729,0.088357523,-0.032912002,0.0578297487,0.090741751,-0.001654327,0.0561198875,0.0577742149
2001,12,0.0118931649,0.0824446122,0.0705514473,0.0294088351,0.0945389146,0.0651300794,0.0120980464,0.0762510677,0.0641530213
2002,1,-0.042931117,-0.02293821,0.019992907,-0.046174193,-0.031311204,0.0148629889,-0.039877128,-0.022580186,0.0172969418
2002,2,0.0218095732,-0.034002398,-0.055811971,0.0212826201,-0.045458825,-0.066741445,0.0175533724,-0.029755454,-0.047308826
2002,3,0.0142780311,0.0967674376,0.0824894066,0.0174031174,0.0961117142,0.0787085969,0.0315525965,0.1031464819,0.0715938855
2002,4,0.0145146663,0.0212424549,0.0067277886,0.0244347274,0.0217885176,-0.00264621,0.0136237666,0.0299665667,0.0163428001
2002,5,0.0011386936,-0.027334116,-0.02847281,-0.002937443,-0.043304235,-0.040366792,-0.005744456,-0.030209812,-0.024465356
2002,6,0.0126616753,-0.026783897,-0.039445572,0.0245344537,-0.012144629,-0.036679083,0.0083388646,-0.010408527,-0.018747392
2002,7,-0.002962527,-0.144385714,-0.141423187,0.0042835421,-0.146552052,-0.150835594,-0.011839583,-0.131434663,-0.11959508
2002,8,-0.007609654,-0.011878395,-0.004268741,-0.014960733,-0.028963332,-0.014002599,-0.01056701,-0.014741853,-0.004174843
2002,9,-0.05695141,-0.107205524,-0.050254114,-0.063681797,-0.119103907,-0.05542211,-0.059740349,-0.097254311,-0.037513962
2002,10,0.0628138803,0.0748480796,0.0120341993,0.0754441206,0.0879294809,0.0124853603,0.0538846779,0.0669619209,0.013077243
2002,11,0.1074296296,0.1448323046,0.037402675,0.1358419283,0.17972851,0.0438865817,0.1057527804,0.1331825223,0.0274297419
2002,12,-0.048036344,-0.061339094,-0.01330275,-0.070700272,-0.095460605,-0.024760333,-0.047365362,-0.060975049,-0.013609686
2003,1,-0.031746351,-0.046070202,-0.014323851,-0.034882703,-0.058161473,-0.02327877,-0.036436641,-0.051374599,-0.014937958
2003,2,-0.011523933,-0.029893305,-0.018369372,-0.007523061,-0.029230607,-0.021707547,-0.018316007,-0.027215898,-0.008899891
2003,3,-0.025066159,-0.000059507,0.0250066511,-0.036264158,-0.008769866,0.0274942919,-0.015308534,0.0087225618,0.0240310954
2003,4,0.0111078743,0.0932192528,0.0821113785,0.029513699,0.1026613526,0.0731476536,0.0357155357,0.1034628641,0.0677473284
2003,5,0.0519070051,0.1382450011,0.086337996,0.0516657642,0.1480849565,0.0964191923,0.0552355887,0.1218318741,0.0665962854
2003,6,0.0336841148,0.0733949253,0.0397108105,0.014001873,0.0495225844,0.0355207115,0.0376271782,0.0681804458,0.0305532675
2003,7,0.0294608573,0.1123852045,0.0829243472,0.0378218754,0.1068419063,0.0690200309,0.0352819705,0.1085704013,0.0732884308
2003,8,0.0010604915,0.0527191456,0.0516586541,0.0210521098,0.0629188019,0.0418666921,-0.011828885,0.0468318752,0.0586607603
2003,9,-0.05024748,-0.023633532,0.0266139481,-0.049170578,-0.033470316,0.0157002614,-0.040786633,-0.022021677,0.018764956
2003,10,-0.045567877,0.0712180984,0.1167859756,-0.032729956,0.0795364814,0.1122664375,-0.048693092,0.0684002106,0.1170933026
2003,11,-0.026621768,0.0343433286,0.0609650966,-0.013507544,0.0330686525,0.046576197,-0.029427658,0.0411163281,0.0705439863
2003,12,-0.003420262,0.0320584852,0.0354787473,0.007276055,0.02744974,0.020173685,-0.000081677,0.0301222951,0.0302039725
