year,month,LSew,Longew,shortew,LSvw,Longvw,shortvw,LSpw,Longpw,shortpw
2001,1,-0.093537893,0.0949045401,0.1884424335,-0.103468714,0.007542484,0.1110111978,-0.096931885,0.0255411611,0.1224730462
2001,2,0.103037939,-0.083538433,-0.186576372,0.1583831981,-0.06604644,-0.224429638,0.1064782149,-0.084358836,-0.190837051
2001,3,0.0873416032,-0.052748657,-0.140090261,0.1170490457,-0.036687214,-0.153736259,0.0820881298,-0.051395047,-0.133483177
2001,4,-0.063316374,0.1075374623,0.1708538364,-0.11304547,0.091289378,0.2043348483,-0.090301385,0.0936888579,0.1839902427
2001,5,-0.013933442,0.0627338703,0.0766673125,-0.002570993,0.0383268443,0.0408978377,0.0114501075,0.0610850297,0.0496349222
2001,6,-0.02027356,0.0135851506,0.0338587105,0.0003554658,0.0046056001,0.0042501342,-0.037930558,-0.010032245,0.0278983122
2001,7,0.1285113553,-0.014886908,-0.143398263,0.095732096,-0.032171418,-0.127903514,0.1108906376,-0.020346294,-0.131236931
2001,8,0.1120792125,-0.010118734,-0.122197947,0.1129761401,-0.019878221,-0.132854361,0.1004221176,-0.008979731,-0.109401848
2001,9,0.1095301186,-0.122008809,-0.231538927,0.1289191575,-0.098270462,-0.22718962,0.1039889199,-0.114783323,-0.218772243
2001,10,-0.066639902,0.071840765,0.1384806668,-0.053274838,0.0385003906,0.0917752283,-0.056370278,0.0604984377,0.1168687161
2001,11,-0.05508036,0.083505107,0.1385854666,-0.070238208,0.0698450576,0.1400832652,-0.056096294,0.0667867964,0.1228830899
2001,12,-0.017736796,0.0587535296,0.0764903254,-0.020767603,0.0399068052,0.0606744079,-0.012148401,0.0544600157,0.0666084167
2002,1,0.1168698785,0.0226675177,-0.094202361,0.1274676506,0.0293729375,-0.098094713,0.1161735052,0.0190673103,-0.097106195
2002,2,0.124545021,-0.008291489,-0.13283651,0.1064006976,0.0006872247,-0.105713473,0.1319676296,0.0044211343,-0.127546495
2002,3,0.0003920877,0.0797034419,0.0793113542,-0.002220207,0.0633232602,0.0655434668,-0.005283996,0.0665785937,0.0718625892
