ticker,conm,ret,year,month,EW,VW,PW,n
MAT,"Mattel, Inc.",0.0384,2021,1,1,6619720704,18.12,427
MAT,"Mattel, Inc.",0.1148,2021,2,1,7232271360,20.2,427
