ticker,conm,ret,year,month,EW,VW,PW,n
OM,"Outset Medical, Inc.",-0.0881,2021,1,1,2261423616,51.83,3001
OM,"Outset Medical, Inc.",-0.0394,2021,2,1,2180292608,49.79,3001
