ticker,conm,ret,year,month,EW,VW,PW,n
PRPH,"ProPhase Labs, Inc.",0.1024,2021,1,1,143965856,10.12,2202
PRPH,"ProPhase Labs, Inc.",-0.2431,2021,2,1,119415888,7.66,2202
