permno,ticker
01012401,RGR
01019501,SUP
01019801,SGC
01022102,SBOW
01023501,TPHS
01023601,SYNL
01024701,SYY
01030501,TSRI
01034901,TAYD
01035301,TISI
01036401,TCCO
01038001,SSY
01038501,TECK
01039001,TRC
01040501,ATI
01040701,TFX
01041101,TDS
01044101,TNC
01044301,TEN
01045301,TER
01049901,TXN
01050401,TPL
01051901,TXT
01053001,TMO
01054901,THO
01056502,TDW
01056704,SIX
01058101,TKR
01060901,TR
01061401,GL
01061801,TTC
01067101,TRP
01068501,TRNS
01073501,TRN
01074001,TRT
01076101,VNRX
01077701,TWIN
01078901,TYL
01079301,TSN
01079504,UAL
01080101,UGI
01083201,UNAM
01083901,UFI
01084001,UNF
01086001,AEE
01086701,UNP
01089401,UDR
01090201,UG
01090301,UNH
01091601,UMBF
01091701,UMH
01092001,UPS
01093001,UAMY
01093801,USEG
01098301,RTX
01099101,SGMS
01099901,UTL
01101201,SXT
01101701,UVV
01102701,UUU
01103201,UHS
01105101,UTMD
01106001,VFC
01106501,VSEC
01109401,VMI
01109901,VALU
01111501,VAR
01112401,VECO
01117801,VLGEA
01118501,VIRC
01119101,VSH
01121301,VOLT
01122001,VNO
01122801,VMC
01123401,WDFC
01125901,WMT
01126401,WBA
01130001,GHC
01130101,WRE
01130401,AVA
01131301,WSO.B
01131302,WSO
01134001,WRI
01134301,WMK
01137201,GBR
01137601,WST
01139901,WDC
01145501,WEYS
01145601,WY
01146501,WHR
01149901,JW.A
01149902,JW.B
01150601,WMB
01151101,WSM
01153701,WGO
01153802,JAX
01155001,WEC
01155401,LNT
01156601,WWW
01158001,WWD
01158401,FL
01160001,WOR
01163601,XRX
01164901,YELL
01165701,YORW
01167001,SPB
01167201,TJX
01168701,ZION
01170301,FLUX
01172101,OSK
01172901,WTM
01174501,QLYS
01175601,ALEX
01177001,SF
01178101,OVV
01179602,LCII
01181101,JKHY
01184201,ASB
01185401,NMIH
01185601,TFC
01186101,VLY
01187201,ARKR
01187702,BXG
01189601,FMBI
01192201,NGVC
01197601,RMCF
01203501,RBB
01208101,LAND
01209601,ELA
01212301,BIG
01212401,MS
01213801,TROW
01214001,NNN
01214101,MSFT
01214201,ORCL
01215101,COTY
01218101,RGEN
01225201,XOMA
01226201,ASTE
01226601,WERN
01229401,MPLX
01230401,DLHC
01232101,VGZ
01237701,REFR
01237901,AMWD
01238901,HOG
01239201,SKYW
01239501,TOL
01240701,GROW
01242101,KSPN
01242804,POR
01243301,VIVO
01244101,IT
01244501,WTS
01245801,PDEX
01245901,NVR
01247101,INT
01248201,CLFD
01248512,ATUS
01252202,RADA
01254001,ADBE
01254401,JOE
01256801,DJCO
01257502,CYAN
01257801,VHI
01258901,EHC
01259701,LAKE
01259801,PTSI
01260304,CNO
01261501,MHO
01262501,MRTN
01263501,FISV
01268901,KBH
01271101,CVM
01271301,ABEO
01271701,ANIX
01271901,APYX
01272601,UNM
01275601,CCEP
01276101,STKL
01278501,PPC
01279603,CLGX
01281801,ISR
01282501,JJSF
01283301,DKL
01284001,HTLD
01285001,CERN
01287401,ICAD
01289201,SUN
01290901,MKL
01291501,OSUR
01292601,FRPH
01294501,PLXS
01295602,IOR
01296401,CDZI
01297201,IMKTA
01298701,XSPA
01304101,SNV
01307101,RDNT
01309203,JACK
01312501,PEAK
01314201,CMO
01318901,CDR
01320001,PLAB
01323502,ICCC
01323901,KRMD
01332301,SAFM
01334101,PGR
01334201,RLI
01335401,VOXX
01340001,ASM
01342101,CDNS
01343103,BRY
01345301,OPY
01346001,PED
01348001,EBIX
01348401,SNGX
01349801,CCL
01351001,DRE
01352001,CMCL
01356101,MBI
01356201,BDN
01357001,MIDD
01357901,EQC
01358001,UHT
01358201,CPSH
01360201,CRMT
01361901,ABMD
01362301,CNMD
01364601,TIF
01364901,NHLD
01370001,XRAY
01370901,IEP
01371001,FUN
01371401,VIACA
01371403,VIAC
01372101,ZTS
01373301,PMD
01376502,NAII
01378601,HRTX
01379401,THMO
01382401,FICO
01383501,RGLS
01387101,SMLP
01388801,COOP
01390601,JOUT
01396301,VGR
01397103,MEOH
01398801,SCHW
01401001,TGA
01402701,CLH
01408401,AIN
01410801,CYBE
01411301,MITK
01417201,FULT
01421901,BXS
01422501,FAST
01422901,TATT
01425301,WABC
01425601,MXIM
01426904,HLF
01427504,FRC
01428201,APH
01430902,IPAR
01431101,PII
01431301,OSB
01432001,ICPT
01433001,WFG
01435301,SJR
01435902,PXD
01436901,USM
01437001,MAN
01439001,FTS
01439101,TAC
01440101,ITIC
01440301,DX
01441801,MGM
01447701,WM
01448908,DELL
01450101,NUZE
01453501,SSP
01455101,SAMG
01456101,IIVI
01456302,MERC
01459002,FCX
01459201,AB
01460301,CDMO
01462401,ODP
01463901,NEN
01479001,MTH
01479306,ARCH
01479401,CMT
01482201,WRB
01482401,CINF
01482801,ORI
01489101,MGPI
01489801,DDD
01492402,NTP
01493401,DVN
01495401,LNN
01496001,LH
01498302,CSBR
01504401,WDAY
01505501,CNQ
01506001,CPE
01507001,SU
01508701,LWAY
01510101,MFA
01511101,RPT
01514201,STAR
01515301,AGM.A
01515303,AGM
01517207,FCAU
01519901,SRCE
01521201,CAPL
01524002,WWR
01524701,VLO
01525203,TRS
01526701,IEX
01532701,BNSO
01534301,MLI
01535001,BPT
01536301,TCF
01536401,ARGO
01541401,TECH
01541701,BRO
01542001,AMBA
01545901,TG
01548901,HGEN
01552001,SIG
01553901,PRTK
01554301,SRAX
01557601,DB
01558001,BMO
01558101,CM
01558201,BNS
01563301,RY
01570401,TRI
01570601,TD
01582401,HGBL
01585501,NLOK
01600901,SPWH
01601501,QRHC
01606601,MRCC
01610101,ABBV
01611301,APAM
01611601,CONE
01612501,GMRE
01614901,OFS
01615001,SCM
01618801,CGNX
01622501,WES
01624501,PBCT
01626901,ENTA
01638401,VOYA
01640101,CRUS
01645301,NEOG
01645602,HNGR
01647603,LEVI
01647703,LEA
01647801,EOG
01648601,BCC
01653101,ZIXI
01654901,SFBS
01658201,NTR
01659701,LSCC
01660801,WHF
01664101,ATAX
01665301,TMHC
01666801,AROW
01667101,AAME
01668901,NBN
01669801,BMTC
01670001,RESI
01670501,CPF
01671001,DGII
01671401,DGICB
01671402,DGICA
01672001,AAMC
01672101,EA
01673801,HMHC
01674501,PRTA
01674801,CNBKA
01677501,CIA
01677701,FBNC
01678101,CHCO
01679001,CBU
01682101,FBP
01683201,GBCI
01684501,FRME
01684801,TVTX
01688401,LFT
01688901,INDB
01689001,IBCP
01694701,ATNM
01696701,HIFS
01697201,ANY
01698101,OFG
01698901,PEBK
01700101,FUBO
01701001,LSXMA
01701002,LSXMB
01701003,LSXMK
01701201,XONE
01703501,MCY
01707201,NSEC
01707301,NWLI
01709501,ONB
01710101,IMGN
01710601,PEBO
01711501,SIGI
01712001,SIVB
01713101,IHC
01713201,WSFS
01714501,WAFD
01715001,WBS
01715101,WSBC
01717301,ACNB
01717501,KTRA
01718001,SNFCA
01718401,SBCF
01718501,XXII
01719501,FFBC
01719901,BLFS
01722801,TALO
01724001,TMP
01724501,TRST
01724801,UBSI
01725201,UFCS
01726901,ASRV
01727701,NVEE
01730601,PFSI
01734102,ARTNA
01736701,AMNB
01737601,MRIN
01740801,NVGS
01742201,PME
01743801,BDGE
01745101,IBTX
01745401,KNOP
01748501,DRIO
01749801,CMRX
01753401,CCNE
01755301,MODN
01755601,BPY
01759401,RBNC
01762601,AHH
01763901,AMH
01764101,BKSC
01765101,RZLT
01765301,ADMA
01768701,HMTV
01769601,TSC
01771501,CVLY
01772401,CNOB
01772701,EKSO
01775401,AEYE
01776901,HASI
01780801,EPZM
01781101,ECOM
01782601,NXE
01786601,EARN
01787401,TMUS
01787501,NCBS
01787701,CHMG
01787801,NRZ
01789001,IKNX
01789601,HCAP
01791001,HTBX
01792801,IQV
01793301,PSXP
01793401,SFM
01795601,FI
01798701,ESBK
01799701,CSTM
01799801,BLUE
01800401,CCS
01800901,NSTG
01803601,COMM
01803701,CZNC
01804001,FRBK
01804301,NWSA
01804302,NWS
01804701,NDLS
01804901,FNB
01807101,REXR
01807301,CHMI
01814401,GLG
01814501,DOC
01815901,AGIO
01816201,ESPR
01817101,NWHM
01817201,ONTX
01817301,EVOK
01818201,FDBC
01818401,NGHC
01820401,ANIP
01823101,WTER
01824101,FCF
01826401,FVCB
01827001,MBII
01827601,THFF
01828901,ASC
01829001,DSS
01829301,CWEN.A
01829303,CWEN
01830601,SC
01830701,FLIC
01831201,USFD
01831501,PGEN
01832001,FOXF
01832101,CINR
01832301,OCSI
01832901,BUSE
01835101,EQX
01835801,FUNC
01838301,BRX
01838501,FRAF
01839801,EAST
01842401,LPCN
01843001,FPRX
01843401,ALRS
01844101,TPRE
01846501,AR
01846801,PAGP
01848701,FEYE
01849001,NXTD
01849401,IRT
01849801,MUSA
01850901,IPWR
01851001,XLRN
01853301,HBNC
01854901,CLRO
01855601,CHGG
01856101,BNFT
01856201,FATE
01856401,AAOI
01857201,ISEE
01857301,QTS
01857801,RMAX
01862401,PINC
01862601,GLOB
01862901,LGIH
01863001,RNG
01865801,MGNX
01866601,TRXC
01867501,BURL
01868301,SAIC
01868901,VEEV
01869501,CBFV
01869901,PTC
01873201,LKFN
01873801,AIKI
01874501,ESNT
01874901,AERI
01877901,CPTA
01879201,GLPI
01883901,PBPB
01884201,TCS
01886901,WIX
01887201,TWTR
01887501,EXPI
01887801,GLYC
01888501,CUEN
01888801,AMRX
01889201,TKAT
01889901,TNDM
01892501,TRVN
01892601,DLNG
01893001,KPTI
01893801,XNCR
01894701,VCYT
01897801,STKS
01898301,OXFD
01900001,MMI
01902501,REPH
01903301,MOXC
01904401,VRNS
01907101,CWH
01908401,BHR
01909401,NBTB
01911701,BIOC
01912902,HNRG
01913701,OVBC
01914301,KIN
01914901,RARE
01915001,OSBC
01915401,CARA
01915901,PWOD
01916802,TACO
01917201,AMRK
01917501,VNCE
01918401,CELP
01920501,CAPR
01920901,NTIC
01926201,CTBI
01926701,DRTT
01927301,ENBL
01927401,INGN
01927501,BRG
01930501,PLPC
01931801,PRK
01935501,SFNC
01939101,MBUU
01939801,DENN
01940201,GIII
01941201,ITCI
01942501,GNCA
01942801,GSBC
01943101,PPIH
01943301,PHX
01944001,LADR
01945801,SESN
01946701,COCP
01947001,DRNA
01947101,RVNC
01948401,FTAI
01950701,OUT
01951101,FLXN
01951601,IBP
01951701,OGS
01951801,KN
01952502,AGFS
01952601,FPI
01952801,FGF
01953401,CNCE
01954901,BIVI
01957001,STBA
01957401,GCI
01957801,TPCO
01958101,LE
01958201,CTRE
01960001,CBAY
01960201,HEAR
01960501,RAND
01964701,LC
01964901,SABR
01971202,OXBR
01971301,AUB
01971701,NLTX
01971901,RESN
01973001,PCTY
01974701,QUOT
01975201,ICMB
01975301,MGNI
01976101,HEPA
01977101,GLMD
01977301,CSLT
01978401,EGRX
01980001,CPLG
01980201,RMNI
01981501,FCBP
01981701,UVSP
01983201,ARAV
01984901,ATEN
01985101,CIO
01985801,VRTV
01985901,AKBA
01987301,WASH
01987701,QTWO
01988101,TWOU
01990601,GRUB
01990801,FIVN
01992501,TPVG
01992701,MC
01993501,ENLC
01996601,CMCT
01996701,AGTC
01997401,TSLX
01997701,WATT
01998801,MDWD
01999801,MEDP
02001001,AGRX
02001101,TMST
02001801,ALDX
02001901,CVBF
02002001,CVEO
02002901,CSWC
02004001,SCYX
02004201,ADMS
02004401,BGSF
02008801,BOX
02008901,TMX
02009601,CGC
02010501,FSK
02010901,CCBG
02011501,PAHC
02011601,PAYC
02012601,WMS
02013001,AY
02013502,QTNT
02014301,MTBC
02014701,SDPI
02017901,GLOP
