ticker,conm,ret,year,month,EW,VW,PW,n
WTM,"White Mountains Insurance Group, Ltd.",0.0193,2021,1,1,3783459840,1020.0,741
WTM,"White Mountains Insurance Group, Ltd.",0.1716,2021,2,1,3713105920,1195.06,741
