year,month,LS,Long,short
2016,9,-0.002640193,0.029258297,0.0318984899
2016,10,0.029642335,-0.033114694,-0.062757029
2016,11,0.0732348342,0.1269484838,0.0537136496
2016,12,0.0480754071,0.0297080024,-0.018367405
2017,1,0.0043857428,0.0368901521,0.0325044093
2017,2,-0.054820644,-0.016507607,0.0383130374
2017,3,-0.015319042,-0.005450521,0.0098685213
2017,4,-0.038136795,-0.002695972,0.0354408228
2017,5,-0.054552172,-0.033251941,0.0213002309
2017,6,0.0152875231,0.0302724547,0.0149849316
2017,7,0.0065250646,0.0179756372,0.0114505726
2017,8,-0.012904474,-0.007729528,0.0051749467
2017,9,0.0082117854,0.0485301769,0.0403183915
2017,10,0.0023456462,0.0085796381,0.0062339919
2017,11,-0.016552611,0.0177694784,0.0343220896
2017,12,0.0059773454,0.0223078619,0.0163305164
2018,1,-0.021557302,0.0237597793,0.0453170816
2018,2,-0.02668088,-0.049021203,-0.022340324
2018,3,-0.001494592,0.0068185072,0.0083130989
2018,4,-0.002990966,0.0082954209,0.0112863864
2018,5,-0.013069068,0.0452163807,0.0582854489
2018,6,0.0002642206,0.0165240662,0.0162598456
2018,7,-0.001474445,0.0044501538,0.005924599
2018,8,-0.057500067,0.0259219125,0.0834219799
2018,9,-0.002137304,-0.009343078,-0.007205774
2018,10,0.0422612259,-0.080167065,-0.122428291
2018,11,-0.015451688,-0.008917932,0.0065337567
2018,12,-0.009453801,-0.116528302,-0.107074501
2019,1,-0.020521793,0.1156285118,0.1361503044
2019,2,-0.041119407,0.0261042142,0.0672236211
2019,3,-0.027490726,-0.025206801,0.0022839252
2019,4,0.0055324407,0.0284662978,0.0229338571
2019,5,-0.039778437,-0.099295678,-0.059517242
2019,6,-0.028875803,0.0530919895,0.0819677927
2019,7,-0.021760858,-0.011363338,0.0103975206
2019,8,-0.044866038,-0.071603223,-0.026737186
2019,9,0.0860222954,0.0572129801,-0.028809315
2019,10,-0.026835525,0.0053966877,0.0322322132
2019,11,-0.058510507,0.0296645527,0.0881750599
2019,12,0.0463363251,0.0660420977,0.0197057726
2020,1,-0.102928835,-0.091407716,0.0115211189
2020,2,-0.030138657,-0.096949714,-0.066811057
2020,3,-0.139775409,-0.302978874,-0.163203466
2020,4,-0.010897559,0.1888916974,0.1997892568
2020,5,-0.061667931,0.0530320516,0.114699983
2020,6,-0.023709143,0.0191520327,0.0428611752
2020,7,0.0422158245,0.0767261079,0.0345102834
2020,8,0.0235363437,0.1492754868,0.1257391431
2020,9,-0.028993763,-0.054698822,-0.025705059
2020,10,0.1419940394,0.0604125824,-0.081581457
2020,11,0.036966669,0.2566342893,0.2196676203
2020,12,0.0261369075,0.0792888698,0.0531519623
