year,month,Long,Short,LS
2018,7,0.0371993143,0.0016,0.0355993143
2018,8,0.032545299,0.0016,0.030945299
2018,9,0.0056835383,0.0015,0.0041835383
2018,10,-0.068309666,0.0019,-0.070209666
2018,11,0.0203578145,0.0018,0.0185578145
2018,12,-0.090244079,0.0019,-0.092144079
2019,1,0.0800758322,0.0021,0.0779758322
2019,2,0.0320787693,0.0018,0.0302787693
2019,3,0.0194114542,0.0019,0.0175114542
2019,4,0.0404681767,0.0021,0.0383681767
2019,5,-0.063469379,0.0021,-0.065569379
2019,6,0.0704453755,0.0018,0.0686453755
2019,7,0.0143774475,0.0019,0.0124774475
2019,8,-0.015865527,0.0016,-0.017465527
2019,9,0.0187120275,0.0018,0.0169120275
2019,10,0.0216243273,0.0015,0.0201243273
2019,11,0.0362728637,0.0012,0.0350728637
2019,12,0.0301501442,0.0014,0.0287501442
2020,1,-0.000372975,0.0013,-0.001672975
2020,2,-0.082129393,0.0012,-0.083329393
2020,3,-0.123468124,0.0012,-0.124668124
2020,4,0.1281065856,0,0.1281065856
2020,5,0.047529726,0.0001,0.047429726
2020,6,0.0198780676,0.0001,0.0197780676
2020,7,0.0563505349,0.0001,0.0562505349
2020,8,0.0718273863,0.0001,0.0717273863
2020,9,-0.037990635,0.0001,-0.038090635
2020,10,-0.02654832,0.0001,-0.02664832
2020,11,0.1094306964,0.0001,0.1093306964
2020,12,0.0384238589,0.0001,0.0383238589
2021,1,-0.010077821,0,-0.010077821
2021,2,0.0276067244,0,0.0276067244
